Severity,Customer Record ID,Account Name,Case Number,Status,Date/Time Opened,Date/Time Closed,Resolution Time,Ambari Version,Stack Version,Product Component,Apache BugID URL,Hortonworks BugID URL,HOTFIX BugID URL,EAR URL,Root Cause,Enhancement Request Number,Environment
S1 - Production Down,1323778502,UGF5UGFs,104144,Closed,20161201 054350.000,20170103 190615.000,13 days 13 hours8 mn,2.2.2,2.2.9,HDFS,,,,https://hortonworks.jira.com/browse/EAR-5081,Unreproducible,,
S1 - Production Down,723306149,VC1Nb2JpbGUgRW5nIEludGVsICYgQW5hbHl0aWNz,107211,Closed,20161227 044104.000,20170103 034911.000,0 days 9 hours38 mn,2.2.2,2.4.2,HDFS,,,,,Education - Configuration,,
S1 - Production Down,562543287,SW5mb3N5cyBMaW1pdGVkIChJbmRpYSk=,107553,Closed,20161230 091245.000,20170103 064920.000,0 days 2 hours8 mn,1.7.0,2.2.0,HDFS,,,,,Education - Configuration,,
S1 - Production Down,744154438,QXBwbGUgSW5jLg==,104873,Closed,20161207 043428.000,20170103 103343.000,7 days 5 hours54 mn,2.2.1,2.2.9,Oozie,,,,,Unreproducible,,ENV-00034
S1 - Production Down,1065160451,TGVub3Zv,107168,Closed,20161224 091251.000,20170103 120405.000,1 days 9 hours27 mn,2.4.2.0,2.5,Ambari,,,,,Customer Environment (Non HDP),,ENV-01012
S1 - Production Down,1540628899,SGVhbHRoIENhcmUgU2VydmljZSBDb3Jwb3JhdGlvbiAoSENTQyk=,107103,Closed,20161223 112418.000,20170103 120519.000,2 days 3 hours15 mn,2.2.2,2.4.2,HDFS,,,,,Customer Environment (Non HDP),,ENV-00516
S1 - Production Down,1294346536,VGVyYWRhdGEgQ29ycG9yYXRpb24=,107271,Closed,20161227 180007.000,20170104 044133.000,7 days 10 hours41 mn,2.1.2,2.3.2,Ambari,,https://hortonworks.jira.com/browse/BUG-51603,,https://hortonworks.jira.com/browse/EAR-5225,Product Defect,,
S1 - Production Down,971800616,QVQmVCwgVVM=,104903,Closed,20161207 110327.000,20170103 152105.000,27 days 4 hours18 mn,2.2.1,2.4.2,Hive,,,,,Unreproducible,,
S1 - Production Down,72726012,U2NobHVtYmVyZ2Vy,104880,Closed,20161207 062435.000,20170104 055003.000,27 days 23 hours25 mn,2.1.2.1,2.3.0,Hive,,,,,Unreproducible,,
S1 - Production Down,359449412,SFNCQw==,103745,Closed,20161129 200033.000,20170106 191807.000,37 days 23 hours18 mn,1.7.0,2.2.0,YARN,https://issues.apache.org/jira/browse/YARN-3493,,,https://hortonworks.jira.com/browse/EAR-5193,Education - Non Configuration,,ENV-00164
S1 - Production Down,684107556,TW91bnQgU2luYWkgSG9zcGl0YWw=,106190,Closed,20161216 142921.000,20170104 232603.000,19 days 8 hours57 mn,2.4.1.0,2.5,Hive,,,,,No Customer Response,,
S1 - Production Down,1427807662,SFNCQw==,107575,Closed,20161230 200724.000,20170105 003347.000,5 days 4 hours26 mn,1.7.0,2.2.0,YARN,,,,,Working as Designed,,ENV-00164
S1 - Production Down,809503298,RGFyIEFsLUhhbmRhc2Fo,107216,Closed,20161227 072003.000,20170105 150050.000,9 days 4 hours34 mn,2.4.2.0,2.4.2,Solr (HDFS),,,,,Unreproducible,,
S1 - Production Down,429422465,Qmxvb21iZXJn,106537,Closed,20161220 104220.000,20170106 213229.000,14 days 10 hours3 mn,,2.3.6.0,Hbase,,,,https://hortonworks.jira.com/browse/EAR-5211,Education - Configuration,,
S1 - Production Down,399735094,V29ybGRwYXkgVUs=,102519,Closed,20161117 134724.000,20170108 192323.000,0 days 3 hours21 mn,2.4.1.0,2.5,Ambari,,,,https://hortonworks.jira.com/browse/EAR-5006,Unreproducible,,ENV-00722
S1 - Production Down,1964955965,REZTIENvcnBvcmF0ZSBTZXJ2aWNlcyBMTEM=,105838,Closed,20161214 052949.000,20170109 212413.000,13 days 13 hours29 mn,2.2.2,2.4.2,Hive,,,,https://hortonworks.jira.com/browse/EAR-5183,Education - Configuration,,ENV-00123
S1 - Production Down,466846451,U2Vuc3Vz,106037,Closed,20161215 123549.000,20170111 171459.000,12 days 4 hours39 mn,2.2.2,2.4.2,Ambari,,,,,Customer Environment (Non HDP),,
S1 - Production Down,477146370,QVQmVCwgVVM=,105506,Closed,20161212 154811.000,20170110 153702.000,0 days 22 hours25 mn,2.2.1,2.4.2,Hive,https://issues.apache.org/jira/browse/YARN-4844,https://hortonworks.jira.com/browse/BUG-54619,https://hortonworks.jira.com/browse/HOTFIX-546,https://hortonworks.jira.com/browse/EAR-4912,Product Defect,,
S1 - Production Down,559125194,S0FZQUsgU29mdHdhcmUgQ29ycG9yYXRpb24=,105587,Closed,20161212 200620.000,20170110 175125.000,1 days 3 hours19 mn,2.4.0.1,2.4.3,HDFS,,,,,Customer Environment (Non HDP),,
S1 - Production Down,1410116091,S0FZQUsgU29mdHdhcmUgQ29ycG9yYXRpb24=,106456,Closed,20161219 210908.000,20170110 180741.000,21 days 20 hours59 mn,2.4.2.0,2.4.3,HDFS,,,,,Customer Environment (Non HDP),,
S1 - Production Down,609809334,TWljcm9uIFRlY2hub2xvZ3k=,107142,Closed,20161223 192325.000,20170111 212828.000,12 days 23 hours4 mn,2.2.2,2.3.4,Hbase,,,,https://hortonworks.jira.com/browse/EAR-5226,Unreproducible,,
S1 - Production Down,20011363,Um9zcyBTdG9yZXM=,107247,Closed,20161227 161633.000,20170116 194604.000,16 days 7 hours40 mn,2.2.0,2.3.4,Tez,,https://hortonworks.jira.com/browse/BUG-59952,,https://hortonworks.jira.com/browse/EAR-5231,Product Defect,,ENV-00825
S1 - Production Down,1031582939,TWljcm9zb2Z0IChSZXN0cmljdGVkKQ==,104304,Closed,20161201 235124.000,20170119 212620.000,0 days 2 hours6 mn,2.4,2.5,HDFS,,https://hwxmonarch.atlassian.net/browse/PROD-1452,https://hortonworks.jira.com/browse/HOTFIX-508,https://hortonworks.jira.com/browse/EAR-5164,Referred to Consulting,,
S1 - Production Down,1290685136,UGVvcGxlRmluZGVycy5jb20=,105408,Closed,20161210 162407.000,20170111 180209.000,32 days 1 hours38 mn,2.2.2,2.3.4,Hive,,,,https://hortonworks.jira.com/browse/EAR-5140,Unreproducible,,
S1 - Production Down,2126008316,QXBwbGUgSW5jLg==,103184,Closed,20161123 091854.000,20170118 110617.000,56 days 1 hours47 mn,2.2.2,2.3.4,Hive,,https://hortonworks.jira.com/browse/BUG-71097,,https://hortonworks.jira.com/browse/EAR-5172,Education - Configuration,,ENV-00034
S1 - Production Down,2136221045,QWJib3R0IExhYm9yYXRvcmllcw==,106314,Closed,20161218 135947.000,20170119 174447.000,28 days 20 hours55 mn,2.2.2,2.3.2,Hive,,,,,Education - Configuration,,
S1 - Production Down,898831282,UGF5UGFs,99297,Closed,20161022 044636.000,20170130 181529.000,96 days 12 hours37 mn,2.2.2,2.2.9,HDFS,https://issues.apache.org/jira/browse/HDFS-11054,https://hortonworks.jira.com/browse/BUG-68080,,https://hortonworks.jira.com/browse/EAR-4832,Product Defect,,
